expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 0.000000 | got: 0.000000
expecting: 1.000000 | got: 2.000000
expecting: 1.000000 | got: 2.000000
expecting: 1.000000 | got: 2.000000
expecting: 1.000000 | got: 1.000000
expecting: 1.000000 | got: 1.000000
expecting: 1.000000 | got: 1.000000
expecting: 1.000000 | got: 2.000000
expecting: 1.000000 | got: 1.000000
expecting: 1.000000 | got: 1.000000
expecting: 1.000000 | got: 1.000000
expecting: 1.000000 | got: 1.000000
expecting: 1.000000 | got: 1.000000
expecting: 1.000000 | got: 2.000000
expecting: 1.000000 | got: 1.000000
expecting: 1.000000 | got: 1.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 2.000000
expecting: 2.000000 | got: 0.000000

hits: 39 | samples: 45 | accuracy: 86.666664
